id,raw_question,normalized_question,domain,intent,risk_level,should_rewrite,rewritten_question,recommended_spread,safety_action,allowed,forbidden,router_notes,followup_questions,query_tags,priority
qt_0011,她是不是只把我当朋友？,她是不是只把我当朋友?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0012,他是不是在吊着我？,他是不是在吊着我?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0013,他到底有没有把我放在心上？,他到底有没有把我放在心上?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0014,他看见我发的朋友圈会怎么想？,他看见我发的朋友圈会怎么想?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0015,他现在对我的真实想法是什么？,他现在对我的真实想法是什么?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0016,他是不是后悔了？,他是不是后悔了?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0017,她是不是还舍不得我？,她是不是还舍不得我?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0018,他是不是故意不回消息？,他是不是故意不回消息?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0019,他是不是想复合但不说？,他是不是想复合但不说?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0020,他为什么一会儿热一会儿冷？,他为什么一会儿热一会儿冷?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0021,她是不是在试探我？,她是不是在试探我?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0022,他到底认真不认真？,他到底认真不认真?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0023,他是不是只想暧昧？,他是不是只想暧昧?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0024,对方现在心里有我吗？,对方现在心里有我吗?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0025,他是不是怕承诺？,他是不是怕承诺?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0026,她对我有没有好感？,她对我有没有好感?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0027,他还会想起我吗？,他还会想起我吗?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0028,他是不是在等我主动？,他是不是在等我主动?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0029,他是不是还在关注我？,他是不是还在关注我?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0030,她是不是觉得我烦？,她是不是觉得我烦?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0031,他是不是觉得我没价值？,他是不是觉得我没价值?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0032,他是不是在比较我和别人？,他是不是在比较我和别人?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0033,他不回消息是不是说明没戏？,他不回消息是不是说明没戏?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0034,他点赞朋友圈是什么意思？,他点赞朋友圈是什么意思?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0035,他突然出现是什么意思？,他突然出现是什么意思?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0036,他突然消失是什么意思？,他突然消失是什么意思?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0037,我们还有机会吗？,我们还有机会吗?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0038,我们会复合吗？,我们会复合吗?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0039,这段关系还有救吗？,这段关系还有救吗?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0040,我们最后会在一起吗？,我们最后会在一起吗?,love,fate_based_relationship,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0041,这段暧昧会有结果吗？,这段暧昧会有结果吗?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0042,我们会不会走到最后？,我们会不会走到最后?,love,fate_based_relationship,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0043,我和前任还有缘分吗？,我和前任还有缘分吗?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0044,他还会回来找我吗？,他还会回来找我吗?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0045,我们会不会重新联系？,我们会不会重新联系?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0046,冷战之后还能和好吗？,冷战之后还能和好吗?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0047,分手后还有可能吗？,分手后还有可能吗?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0048,断联之后还有机会吗？,断联之后还有机会吗?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0049,这段关系是不是已经结束了？,这段关系是不是已经结束了?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
qt_0050,我们之间是不是没戏了？,我们之间是不是没戏了?,love,relationship_trend,medium,True,如果维持当前互动模式，这段关系更可能往哪里走？我可以调整什么？,love_5,rewrite_then_read,读当前关系动力 | 描述条件性趋势 | 指出可调整动作 | 提醒现实沟通,承诺复合/结婚 | 说注定/正缘锁死 | 制造等待 | 断言对方未来行为,关系趋势要读成“当前模式延续下的倾向”，不能读成宿命结果。,你现在更想要结果，还是想看清这段关系的卡点？ | 你们最近一次真实沟通是什么时候？,love | trend | reconciliation | non_absolute,high
