curated_id,cards,card_names_cn,theme,love,career,self_state,decision,advice,avoid,use_when,human_like_example
curated_the_moon__seven_of_swords,the_moon | seven_of_swords,月亮 | 宝剑七,信息不清与猜测,月亮 + 宝剑七 在感情里可以读成“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,月亮 + 宝剑七 在事业里可以读成“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,月亮 + 宝剑七 在自我状态里像是在提示“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,月亮 + 宝剑七 在决策里适合拆解“迷雾、焦虑与信息不清 落到 思考与冲突 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,先核实信息，不要只凭感觉下判断。,不要直接说有人背叛你。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,月亮和宝剑七放在一起，重点不是把事情说死，而是看见“信息不清与猜测”。先核实信息，不要只凭感觉下判断。
curated_ace_of_wands__the_magician,ace_of_wands | the_magician,权杖一 | 魔术师,灵感和执行,魔术师 + 权杖一 在感情里可以读成“资源整合与主动创造 落到 行动与热情 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,魔术师 + 权杖一 在事业里可以读成“资源整合与主动创造 落到 行动与热情 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,魔术师 + 权杖一 在自我状态里像是在提示“资源整合与主动创造 落到 行动与热情 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,魔术师 + 权杖一 在决策里适合拆解“资源整合与主动创造 落到 行动与热情 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,适合把想法转成具体行动。,不要只讲鸡血。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,权杖一和魔术师放在一起，重点不是把事情说死，而是看见“灵感和执行”。适合把想法转成具体行动。
curated_five_of_pentacles__the_star,five_of_pentacles | the_star,星币五 | 星星,匮乏中的希望,星星 + 星币五 在感情里可以读成“疗愈、希望与长期恢复 落到 现实与资源 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,星星 + 星币五 在事业里可以读成“疗愈、希望与长期恢复 落到 现实与资源 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,星星 + 星币五 在自我状态里像是在提示“疗愈、希望与长期恢复 落到 现实与资源 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,星星 + 星币五 在决策里适合拆解“疗愈、希望与长期恢复 落到 现实与资源 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,困难存在，但可以寻找支持和恢复路径。,不要说用户注定贫困。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,星币五和星星放在一起，重点不是把事情说死，而是看见“匮乏中的希望”。困难存在，但可以寻找支持和恢复路径。
curated_queen_of_cups__king_of_swords,queen_of_cups | king_of_swords,圣杯皇后 | 宝剑国王,感受与理性拉扯,圣杯皇后 + 宝剑国王 在感情里可以读成“情绪与关系中的内在成熟/接纳 与 思考与冲突中的外在掌控/领导 的交叉影响”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,圣杯皇后 + 宝剑国王 在事业里可以读成“情绪与关系中的内在成熟/接纳 与 思考与冲突中的外在掌控/领导 的交叉影响”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,圣杯皇后 + 宝剑国王 在自我状态里像是在提示“情绪与关系中的内在成熟/接纳 与 思考与冲突中的外在掌控/领导 的交叉影响”。它更适合做情绪和能量复盘，不适合做心理诊断。,圣杯皇后 + 宝剑国王 在决策里适合拆解“情绪与关系中的内在成熟/接纳 与 思考与冲突中的外在掌控/领导 的交叉影响”背后的收益、代价和验证动作，不替用户直接选择。,需要同时尊重情绪和边界。,不要压制任何一边。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,圣杯皇后和宝剑国王放在一起，重点不是把事情说死，而是看见“感受与理性拉扯”。需要同时尊重情绪和边界。
curated_justice__six_of_pentacles,justice | six_of_pentacles,正义 | 星币六,公平交换,正义 + 星币六 在感情里可以读成“公平、因果与理性判断 落到 现实与资源 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,正义 + 星币六 在事业里可以读成“公平、因果与理性判断 落到 现实与资源 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,正义 + 星币六 在自我状态里像是在提示“公平、因果与理性判断 落到 现实与资源 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,正义 + 星币六 在决策里适合拆解“公平、因果与理性判断 落到 现实与资源 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,关系/合作里要看付出与回报是否对等。,不要用道德审判用户。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,正义和星币六放在一起，重点不是把事情说死，而是看见“公平交换”。关系/合作里要看付出与回报是否对等。
curated_wheel_of_fortune__two_of_wands,wheel_of_fortune | two_of_wands,命运之轮 | 权杖二,变化中的规划,命运之轮 + 权杖二 在感情里可以读成“周期变化与转机 落到 行动与热情 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,命运之轮 + 权杖二 在事业里可以读成“周期变化与转机 落到 行动与热情 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,命运之轮 + 权杖二 在自我状态里像是在提示“周期变化与转机 落到 行动与热情 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,命运之轮 + 权杖二 在决策里适合拆解“周期变化与转机 落到 行动与热情 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,时机在变，用户需要提前规划下一步。,不要说全靠命运。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,命运之轮和权杖二放在一起，重点不是把事情说死，而是看见“变化中的规划”。时机在变，用户需要提前规划下一步。
curated_the_hermit__the_high_priestess,the_hermit | the_high_priestess,隐士 | 女祭司,深度内省,女祭司 + 隐士 在感情里可以读成“隐秘信息与直觉 与 独处、内省与寻找答案 的大主题交汇”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,女祭司 + 隐士 在事业里可以读成“隐秘信息与直觉 与 独处、内省与寻找答案 的大主题交汇”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,女祭司 + 隐士 在自我状态里像是在提示“隐秘信息与直觉 与 独处、内省与寻找答案 的大主题交汇”。它更适合做情绪和能量复盘，不适合做心理诊断。,女祭司 + 隐士 在决策里适合拆解“隐秘信息与直觉 与 独处、内省与寻找答案 的大主题交汇”背后的收益、代价和验证动作，不替用户直接选择。,答案不适合急着向外问，需要安静整理直觉。,不要让用户无限封闭。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,隐士和女祭司放在一起，重点不是把事情说死，而是看见“深度内省”。答案不适合急着向外问，需要安静整理直觉。
curated_three_of_swords__temperance,three_of_swords | temperance,宝剑三 | 节制,伤口修复,节制 + 宝剑三 在感情里可以读成“调和、节奏与恢复 落到 思考与冲突 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,节制 + 宝剑三 在事业里可以读成“调和、节奏与恢复 落到 思考与冲突 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,节制 + 宝剑三 在自我状态里像是在提示“调和、节奏与恢复 落到 思考与冲突 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,节制 + 宝剑三 在决策里适合拆解“调和、节奏与恢复 落到 思考与冲突 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,痛感真实，但修复需要时间和节奏。,不要催用户立刻放下。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,宝剑三和节制放在一起，重点不是把事情说死，而是看见“伤口修复”。痛感真实，但修复需要时间和节奏。
curated_the_chariot__seven_of_wands,the_chariot | seven_of_wands,战车 | 权杖七,顶压推进,战车 + 权杖七 在感情里可以读成“意志推进与方向控制 落到 行动与热情 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,战车 + 权杖七 在事业里可以读成“意志推进与方向控制 落到 行动与热情 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,战车 + 权杖七 在自我状态里像是在提示“意志推进与方向控制 落到 行动与热情 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,战车 + 权杖七 在决策里适合拆解“意志推进与方向控制 落到 行动与热情 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,适合守住方向，但要小心过度硬撑。,不要鼓励盲目冲。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,战车和权杖七放在一起，重点不是把事情说死，而是看见“顶压推进”。适合守住方向，但要小心过度硬撑。
curated_the_world__ace_of_pentacles,the_world | ace_of_pentacles,世界 | 星币一,阶段完成后的新现实机会,世界 + 星币一 在感情里可以读成“完成、整合与阶段闭环 落到 现实与资源 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,世界 + 星币一 在事业里可以读成“完成、整合与阶段闭环 落到 现实与资源 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,世界 + 星币一 在自我状态里像是在提示“完成、整合与阶段闭环 落到 现实与资源 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,世界 + 星币一 在决策里适合拆解“完成、整合与阶段闭环 落到 现实与资源 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,一个阶段收束后，会出现更现实的新起点。,不要把完成读成永远结束。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,世界和星币一放在一起，重点不是把事情说死，而是看见“阶段完成后的新现实机会”。一个阶段收束后，会出现更现实的新起点。
curated_the_fool__page_of_wands,the_fool | page_of_wands,愚人 | 权杖侍从,轻装探索,愚人 + 权杖侍从 在感情里可以读成“新开始与未知 落到 行动与热情 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,愚人 + 权杖侍从 在事业里可以读成“新开始与未知 落到 行动与热情 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,愚人 + 权杖侍从 在自我状态里像是在提示“新开始与未知 落到 行动与热情 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,愚人 + 权杖侍从 在决策里适合拆解“新开始与未知 落到 行动与热情 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,适合试水和学习，不必一开始就完美。,不要鼓励鲁莽。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,愚人和权杖侍从放在一起，重点不是把事情说死，而是看见“轻装探索”。适合试水和学习，不必一开始就完美。
curated_the_empress__queen_of_pentacles,the_empress | queen_of_pentacles,女皇 | 星币皇后,滋养与稳定经营,女皇 + 星币皇后 在感情里可以读成“滋养、生长与创造 落到 现实与资源 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,女皇 + 星币皇后 在事业里可以读成“滋养、生长与创造 落到 现实与资源 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,女皇 + 星币皇后 在自我状态里像是在提示“滋养、生长与创造 落到 现实与资源 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,女皇 + 星币皇后 在决策里适合拆解“滋养、生长与创造 落到 现实与资源 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,适合把关系/生活经营得更有温度和安全感。,不要让用户过度付出。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,女皇和星币皇后放在一起，重点不是把事情说死，而是看见“滋养与稳定经营”。适合把关系/生活经营得更有温度和安全感。
curated_the_hanged_man__four_of_cups,the_hanged_man | four_of_cups,倒吊人 | 圣杯四,暂停与麻木,倒吊人 + 圣杯四 在感情里可以读成“暂停与换角度 落到 情绪与关系 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,倒吊人 + 圣杯四 在事业里可以读成“暂停与换角度 落到 情绪与关系 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,倒吊人 + 圣杯四 在自我状态里像是在提示“暂停与换角度 落到 情绪与关系 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,倒吊人 + 圣杯四 在决策里适合拆解“暂停与换角度 落到 情绪与关系 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,不是没有选择，而是现在感受关闭，需要换角度。,不要说用户废了。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,倒吊人和圣杯四放在一起，重点不是把事情说死，而是看见“暂停与麻木”。不是没有选择，而是现在感受关闭，需要换角度。
curated_the_hierophant__justice,the_hierophant | justice,教皇 | 正义,规则与契约,教皇 + 正义 在感情里可以读成“传统、制度与学习 与 公平、因果与理性判断 的大主题交汇”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,教皇 + 正义 在事业里可以读成“传统、制度与学习 与 公平、因果与理性判断 的大主题交汇”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,教皇 + 正义 在自我状态里像是在提示“传统、制度与学习 与 公平、因果与理性判断 的大主题交汇”。它更适合做情绪和能量复盘，不适合做心理诊断。,教皇 + 正义 在决策里适合拆解“传统、制度与学习 与 公平、因果与理性判断 的大主题交汇”背后的收益、代价和验证动作，不替用户直接选择。,需要重视制度、承诺和边界。,不要把传统规则当成唯一答案。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,教皇和正义放在一起，重点不是把事情说死，而是看见“规则与契约”。需要重视制度、承诺和边界。
curated_the_devil__four_of_pentacles,the_devil | four_of_pentacles,恶魔 | 星币四,执念与抓紧,恶魔 + 星币四 在感情里可以读成“执念、束缚与欲望 落到 现实与资源 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,恶魔 + 星币四 在事业里可以读成“执念、束缚与欲望 落到 现实与资源 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,恶魔 + 星币四 在自我状态里像是在提示“执念、束缚与欲望 落到 现实与资源 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,恶魔 + 星币四 在决策里适合拆解“执念、束缚与欲望 落到 现实与资源 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,越害怕失去越容易抓紧，需要看见控制背后的不安。,不要责备用户贪婪。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,恶魔和星币四放在一起，重点不是把事情说死，而是看见“执念与抓紧”。越害怕失去越容易抓紧，需要看见控制背后的不安。
curated_the_sun__six_of_wands,the_sun | six_of_wands,太阳 | 权杖六,明朗与认可,太阳 + 权杖六 在感情里可以读成“明朗、生命力与坦诚 落到 行动与热情 的具体表现”。重点看互动是否稳定、边界是否清楚、情绪是否被放大；不能直接替对方读心。,太阳 + 权杖六 在事业里可以读成“明朗、生命力与坦诚 落到 行动与热情 的具体表现”。重点看资源、节奏、协作和现实条件，而不是简单判断成败。,太阳 + 权杖六 在自我状态里像是在提示“明朗、生命力与坦诚 落到 行动与热情 的具体表现”。它更适合做情绪和能量复盘，不适合做心理诊断。,太阳 + 权杖六 在决策里适合拆解“明朗、生命力与坦诚 落到 行动与热情 的具体表现”背后的收益、代价和验证动作，不替用户直接选择。,适合展示成果、接受正向反馈。,不要过度承诺必胜。,高频感情问题 | 事业卡点 | 自我状态复盘 | 决策取舍,太阳和权杖六放在一起，重点不是把事情说死，而是看见“明朗与认可”。适合展示成果、接受正向反馈。
