profile_id,card_id,card_name_cn,orientation,orientation_cn,domain,domain_name_cn,theme,core_reading,base_meaning_reference,keywords_used,tone_hint,allowed_claim_strength,forbidden,general_advice
the_fool_upright_love,the_fool,愚人,upright,正位,love,感情,开始、自由与冒险,愚人（正位）在感情场景中的核心是：开始、自由与冒险。在感情里，它会把“开始、自由”放进关系互动、情绪连接、边界和回应节奏中理解。,愚人正位强调开始、自由与冒险，通常指向一个需要被看见的核心主题。,开始 | 自由 | 冒险 | 未知 | 轻装上阵,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_magician_reversed_self_state,the_magician,魔术师,reversed,逆位,self_state,自我状态,空想、操控与资源错配,魔术师（逆位）在自我状态场景中的核心是：空想、操控与资源错配。在自我状态里，它会把“空想、操控”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,魔术师逆位强调空想、操控与资源错配，通常提示该主题受阻、失衡或需要重新调整。,空想 | 操控 | 资源错配 | 技巧不足 | 承诺过满,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_magician_reversed_decision,the_magician,魔术师,reversed,逆位,decision,决策,空想、操控与资源错配,魔术师（逆位）在决策场景中的核心是：空想、操控与资源错配。在决策里，它会把“空想、操控”放进选择路径、收益、代价、风险和验证动作中理解。,魔术师逆位强调空想、操控与资源错配，通常提示该主题受阻、失衡或需要重新调整。,空想 | 操控 | 资源错配 | 技巧不足 | 承诺过满,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_high_priestess_upright_love,the_high_priestess,女祭司,upright,正位,love,感情,直觉、隐秘与潜意识,女祭司（正位）在感情场景中的核心是：直觉、隐秘与潜意识。在感情里，它会把“直觉、隐秘”放进关系互动、情绪连接、边界和回应节奏中理解。,女祭司正位强调直觉、隐秘与潜意识，通常指向一个需要被看见的核心主题。,直觉 | 隐秘 | 潜意识 | 等待 | 内在智慧,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_high_priestess_upright_career,the_high_priestess,女祭司,upright,正位,career,事业,直觉、隐秘与潜意识,女祭司（正位）在事业场景中的核心是：直觉、隐秘与潜意识。在事业里，它会把“直觉、隐秘”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,女祭司正位强调直觉、隐秘与潜意识，通常指向一个需要被看见的核心主题。,直觉 | 隐秘 | 潜意识 | 等待 | 内在智慧,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_high_priestess_upright_self_state,the_high_priestess,女祭司,upright,正位,self_state,自我状态,直觉、隐秘与潜意识,女祭司（正位）在自我状态场景中的核心是：直觉、隐秘与潜意识。在自我状态里，它会把“直觉、隐秘”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,女祭司正位强调直觉、隐秘与潜意识，通常指向一个需要被看见的核心主题。,直觉 | 隐秘 | 潜意识 | 等待 | 内在智慧,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_high_priestess_upright_decision,the_high_priestess,女祭司,upright,正位,decision,决策,直觉、隐秘与潜意识,女祭司（正位）在决策场景中的核心是：直觉、隐秘与潜意识。在决策里，它会把“直觉、隐秘”放进选择路径、收益、代价、风险和验证动作中理解。,女祭司正位强调直觉、隐秘与潜意识，通常指向一个需要被看见的核心主题。,直觉 | 隐秘 | 潜意识 | 等待 | 内在智慧,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_high_priestess_reversed_love,the_high_priestess,女祭司,reversed,逆位,love,感情,信息不明、压抑直觉与回避真相,女祭司（逆位）在感情场景中的核心是：信息不明、压抑直觉与回避真相。在感情里，它会把“信息不明、压抑直觉”放进关系互动、情绪连接、边界和回应节奏中理解。,女祭司逆位强调信息不明、压抑直觉与回避真相，通常提示该主题受阻、失衡或需要重新调整。,信息不明 | 压抑直觉 | 回避真相 | 过度猜测 | 表里不一,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_high_priestess_reversed_career,the_high_priestess,女祭司,reversed,逆位,career,事业,信息不明、压抑直觉与回避真相,女祭司（逆位）在事业场景中的核心是：信息不明、压抑直觉与回避真相。在事业里，它会把“信息不明、压抑直觉”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,女祭司逆位强调信息不明、压抑直觉与回避真相，通常提示该主题受阻、失衡或需要重新调整。,信息不明 | 压抑直觉 | 回避真相 | 过度猜测 | 表里不一,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_high_priestess_reversed_self_state,the_high_priestess,女祭司,reversed,逆位,self_state,自我状态,信息不明、压抑直觉与回避真相,女祭司（逆位）在自我状态场景中的核心是：信息不明、压抑直觉与回避真相。在自我状态里，它会把“信息不明、压抑直觉”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,女祭司逆位强调信息不明、压抑直觉与回避真相，通常提示该主题受阻、失衡或需要重新调整。,信息不明 | 压抑直觉 | 回避真相 | 过度猜测 | 表里不一,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_high_priestess_reversed_decision,the_high_priestess,女祭司,reversed,逆位,decision,决策,信息不明、压抑直觉与回避真相,女祭司（逆位）在决策场景中的核心是：信息不明、压抑直觉与回避真相。在决策里，它会把“信息不明、压抑直觉”放进选择路径、收益、代价、风险和验证动作中理解。,女祭司逆位强调信息不明、压抑直觉与回避真相，通常提示该主题受阻、失衡或需要重新调整。,信息不明 | 压抑直觉 | 回避真相 | 过度猜测 | 表里不一,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_empress_upright_love,the_empress,女皇,upright,正位,love,感情,滋养、丰盛与创造,女皇（正位）在感情场景中的核心是：滋养、丰盛与创造。在感情里，它会把“滋养、丰盛”放进关系互动、情绪连接、边界和回应节奏中理解。,女皇正位强调滋养、丰盛与创造，通常指向一个需要被看见的核心主题。,滋养 | 丰盛 | 创造 | 身体感受 | 关系温度,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_empress_upright_career,the_empress,女皇,upright,正位,career,事业,滋养、丰盛与创造,女皇（正位）在事业场景中的核心是：滋养、丰盛与创造。在事业里，它会把“滋养、丰盛”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,女皇正位强调滋养、丰盛与创造，通常指向一个需要被看见的核心主题。,滋养 | 丰盛 | 创造 | 身体感受 | 关系温度,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_empress_upright_self_state,the_empress,女皇,upright,正位,self_state,自我状态,滋养、丰盛与创造,女皇（正位）在自我状态场景中的核心是：滋养、丰盛与创造。在自我状态里，它会把“滋养、丰盛”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,女皇正位强调滋养、丰盛与创造，通常指向一个需要被看见的核心主题。,滋养 | 丰盛 | 创造 | 身体感受 | 关系温度,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_empress_upright_decision,the_empress,女皇,upright,正位,decision,决策,滋养、丰盛与创造,女皇（正位）在决策场景中的核心是：滋养、丰盛与创造。在决策里，它会把“滋养、丰盛”放进选择路径、收益、代价、风险和验证动作中理解。,女皇正位强调滋养、丰盛与创造，通常指向一个需要被看见的核心主题。,滋养 | 丰盛 | 创造 | 身体感受 | 关系温度,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_empress_reversed_love,the_empress,女皇,reversed,逆位,love,感情,过度付出、依赖与匮乏感,女皇（逆位）在感情场景中的核心是：过度付出、依赖与匮乏感。在感情里，它会把“过度付出、依赖”放进关系互动、情绪连接、边界和回应节奏中理解。,女皇逆位强调过度付出、依赖与匮乏感，通常提示该主题受阻、失衡或需要重新调整。,过度付出 | 依赖 | 匮乏感 | 创造力堵塞 | 照顾失衡,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_empress_reversed_career,the_empress,女皇,reversed,逆位,career,事业,过度付出、依赖与匮乏感,女皇（逆位）在事业场景中的核心是：过度付出、依赖与匮乏感。在事业里，它会把“过度付出、依赖”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,女皇逆位强调过度付出、依赖与匮乏感，通常提示该主题受阻、失衡或需要重新调整。,过度付出 | 依赖 | 匮乏感 | 创造力堵塞 | 照顾失衡,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_empress_reversed_self_state,the_empress,女皇,reversed,逆位,self_state,自我状态,过度付出、依赖与匮乏感,女皇（逆位）在自我状态场景中的核心是：过度付出、依赖与匮乏感。在自我状态里，它会把“过度付出、依赖”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,女皇逆位强调过度付出、依赖与匮乏感，通常提示该主题受阻、失衡或需要重新调整。,过度付出 | 依赖 | 匮乏感 | 创造力堵塞 | 照顾失衡,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_empress_reversed_decision,the_empress,女皇,reversed,逆位,decision,决策,过度付出、依赖与匮乏感,女皇（逆位）在决策场景中的核心是：过度付出、依赖与匮乏感。在决策里，它会把“过度付出、依赖”放进选择路径、收益、代价、风险和验证动作中理解。,女皇逆位强调过度付出、依赖与匮乏感，通常提示该主题受阻、失衡或需要重新调整。,过度付出 | 依赖 | 匮乏感 | 创造力堵塞 | 照顾失衡,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_emperor_upright_love,the_emperor,皇帝,upright,正位,love,感情,秩序、边界与责任,皇帝（正位）在感情场景中的核心是：秩序、边界与责任。在感情里，它会把“秩序、边界”放进关系互动、情绪连接、边界和回应节奏中理解。,皇帝正位强调秩序、边界与责任，通常指向一个需要被看见的核心主题。,秩序 | 边界 | 责任 | 结构 | 掌控,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_emperor_upright_career,the_emperor,皇帝,upright,正位,career,事业,秩序、边界与责任,皇帝（正位）在事业场景中的核心是：秩序、边界与责任。在事业里，它会把“秩序、边界”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,皇帝正位强调秩序、边界与责任，通常指向一个需要被看见的核心主题。,秩序 | 边界 | 责任 | 结构 | 掌控,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_emperor_upright_self_state,the_emperor,皇帝,upright,正位,self_state,自我状态,秩序、边界与责任,皇帝（正位）在自我状态场景中的核心是：秩序、边界与责任。在自我状态里，它会把“秩序、边界”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,皇帝正位强调秩序、边界与责任，通常指向一个需要被看见的核心主题。,秩序 | 边界 | 责任 | 结构 | 掌控,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_emperor_upright_decision,the_emperor,皇帝,upright,正位,decision,决策,秩序、边界与责任,皇帝（正位）在决策场景中的核心是：秩序、边界与责任。在决策里，它会把“秩序、边界”放进选择路径、收益、代价、风险和验证动作中理解。,皇帝正位强调秩序、边界与责任，通常指向一个需要被看见的核心主题。,秩序 | 边界 | 责任 | 结构 | 掌控,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_emperor_reversed_love,the_emperor,皇帝,reversed,逆位,love,感情,僵硬、控制欲与权威压迫,皇帝（逆位）在感情场景中的核心是：僵硬、控制欲与权威压迫。在感情里，它会把“僵硬、控制欲”放进关系互动、情绪连接、边界和回应节奏中理解。,皇帝逆位强调僵硬、控制欲与权威压迫，通常提示该主题受阻、失衡或需要重新调整。,僵硬 | 控制欲 | 权威压迫 | 规则失灵 | 缺乏弹性,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_emperor_reversed_career,the_emperor,皇帝,reversed,逆位,career,事业,僵硬、控制欲与权威压迫,皇帝（逆位）在事业场景中的核心是：僵硬、控制欲与权威压迫。在事业里，它会把“僵硬、控制欲”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,皇帝逆位强调僵硬、控制欲与权威压迫，通常提示该主题受阻、失衡或需要重新调整。,僵硬 | 控制欲 | 权威压迫 | 规则失灵 | 缺乏弹性,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_emperor_reversed_self_state,the_emperor,皇帝,reversed,逆位,self_state,自我状态,僵硬、控制欲与权威压迫,皇帝（逆位）在自我状态场景中的核心是：僵硬、控制欲与权威压迫。在自我状态里，它会把“僵硬、控制欲”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,皇帝逆位强调僵硬、控制欲与权威压迫，通常提示该主题受阻、失衡或需要重新调整。,僵硬 | 控制欲 | 权威压迫 | 规则失灵 | 缺乏弹性,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_emperor_reversed_decision,the_emperor,皇帝,reversed,逆位,decision,决策,僵硬、控制欲与权威压迫,皇帝（逆位）在决策场景中的核心是：僵硬、控制欲与权威压迫。在决策里，它会把“僵硬、控制欲”放进选择路径、收益、代价、风险和验证动作中理解。,皇帝逆位强调僵硬、控制欲与权威压迫，通常提示该主题受阻、失衡或需要重新调整。,僵硬 | 控制欲 | 权威压迫 | 规则失灵 | 缺乏弹性,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_hierophant_upright_love,the_hierophant,教皇,upright,正位,love,感情,传统、制度与学习,教皇（正位）在感情场景中的核心是：传统、制度与学习。在感情里，它会把“传统、制度”放进关系互动、情绪连接、边界和回应节奏中理解。,教皇正位强调传统、制度与学习，通常指向一个需要被看见的核心主题。,传统 | 制度 | 学习 | 规范 | 精神秩序,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_hierophant_upright_career,the_hierophant,教皇,upright,正位,career,事业,传统、制度与学习,教皇（正位）在事业场景中的核心是：传统、制度与学习。在事业里，它会把“传统、制度”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,教皇正位强调传统、制度与学习，通常指向一个需要被看见的核心主题。,传统 | 制度 | 学习 | 规范 | 精神秩序,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_hierophant_upright_self_state,the_hierophant,教皇,upright,正位,self_state,自我状态,传统、制度与学习,教皇（正位）在自我状态场景中的核心是：传统、制度与学习。在自我状态里，它会把“传统、制度”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,教皇正位强调传统、制度与学习，通常指向一个需要被看见的核心主题。,传统 | 制度 | 学习 | 规范 | 精神秩序,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_hierophant_upright_decision,the_hierophant,教皇,upright,正位,decision,决策,传统、制度与学习,教皇（正位）在决策场景中的核心是：传统、制度与学习。在决策里，它会把“传统、制度”放进选择路径、收益、代价、风险和验证动作中理解。,教皇正位强调传统、制度与学习，通常指向一个需要被看见的核心主题。,传统 | 制度 | 学习 | 规范 | 精神秩序,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_hierophant_reversed_love,the_hierophant,教皇,reversed,逆位,love,感情,反传统、不合群与僵化信念,教皇（逆位）在感情场景中的核心是：反传统、不合群与僵化信念。在感情里，它会把“反传统、不合群”放进关系互动、情绪连接、边界和回应节奏中理解。,教皇逆位强调反传统、不合群与僵化信念，通常提示该主题受阻、失衡或需要重新调整。,反传统 | 不合群 | 僵化信念 | 质疑权威 | 方法更新,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_hierophant_reversed_career,the_hierophant,教皇,reversed,逆位,career,事业,反传统、不合群与僵化信念,教皇（逆位）在事业场景中的核心是：反传统、不合群与僵化信念。在事业里，它会把“反传统、不合群”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,教皇逆位强调反传统、不合群与僵化信念，通常提示该主题受阻、失衡或需要重新调整。,反传统 | 不合群 | 僵化信念 | 质疑权威 | 方法更新,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_hierophant_reversed_self_state,the_hierophant,教皇,reversed,逆位,self_state,自我状态,反传统、不合群与僵化信念,教皇（逆位）在自我状态场景中的核心是：反传统、不合群与僵化信念。在自我状态里，它会把“反传统、不合群”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,教皇逆位强调反传统、不合群与僵化信念，通常提示该主题受阻、失衡或需要重新调整。,反传统 | 不合群 | 僵化信念 | 质疑权威 | 方法更新,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_hierophant_reversed_decision,the_hierophant,教皇,reversed,逆位,decision,决策,反传统、不合群与僵化信念,教皇（逆位）在决策场景中的核心是：反传统、不合群与僵化信念。在决策里，它会把“反传统、不合群”放进选择路径、收益、代价、风险和验证动作中理解。,教皇逆位强调反传统、不合群与僵化信念，通常提示该主题受阻、失衡或需要重新调整。,反传统 | 不合群 | 僵化信念 | 质疑权威 | 方法更新,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_lovers_upright_love,the_lovers,恋人,upright,正位,love,感情,关系选择与价值一致,恋人（正位）在感情场景中的核心是：关系选择与价值一致。感情里重点是吸引、选择和价值是否一致，而不是单纯甜蜜。,恋人正位强调关系、选择与吸引，通常指向一个需要被看见的核心主题。,关系 | 选择 | 吸引 | 价值一致 | 亲密连接,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
