card_id,name_cn,name_en,arcana,suit,rank,element,upright_keywords,reversed_keywords,visual_summary,base_upright_meaning,base_reversed_meaning
wheel_of_fortune,命运之轮,Wheel of Fortune,major,,,,转机 | 周期 | 变化 | 机缘 | 局势流动,停滞 | 反复循环 | 时机不稳 | 抗拒变化 | 失控感,轮盘转动，提醒事情处在变化周期里，不完全由个人控制。,命运之轮正位强调转机、周期与变化，通常指向一个需要被看见的核心主题。,命运之轮逆位强调停滞、反复循环与时机不稳，通常提示该主题受阻、失衡或需要重新调整。
justice,正义,Justice,major,,,,公平 | 因果 | 判断 | 契约 | 理性决策,不公 | 偏见 | 逃避责任 | 失衡判断 | 规则争议,人物一手持剑一手持天平，强调清醒判断和承担后果。,正义正位强调公平、因果与判断，通常指向一个需要被看见的核心主题。,正义逆位强调不公、偏见与逃避责任，通常提示该主题受阻、失衡或需要重新调整。
the_hanged_man,倒吊人,The Hanged Man,major,,,,暂停 | 换角度 | 牺牲 | 等待 | 重新理解,卡死 | 无意义牺牲 | 拖延 | 不愿改变视角 | 被动消耗,倒挂的人表面停住，但头上的光说明暂停也可能带来新视角。,倒吊人正位强调暂停、换角度与牺牲，通常指向一个需要被看见的核心主题。,倒吊人逆位强调卡死、无意义牺牲与拖延，通常提示该主题受阻、失衡或需要重新调整。
death,死神,Death,major,,,,结束 | 转化 | 旧模式终结 | 放下 | 重生前的清理,抗拒结束 | 拖延改变 | 旧事纠缠 | 无法放手 | 停在过渡期,死亡形象并不只代表毁灭，更强调不可逆的转化和旧模式退场。,死神正位强调结束、转化与旧模式终结，通常指向一个需要被看见的核心主题。,死神逆位强调抗拒结束、拖延改变与旧事纠缠，通常提示该主题受阻、失衡或需要重新调整。
temperance,节制,Temperance,major,,,,调和 | 恢复 | 平衡 | 耐心 | 中间道路,失衡 | 急躁 | 过度消耗 | 节奏混乱 | 难以整合,天使在两只杯之间倒水，像是在调配节奏、情绪和资源。,节制正位强调调和、恢复与平衡，通常指向一个需要被看见的核心主题。,节制逆位强调失衡、急躁与过度消耗，通常提示该主题受阻、失衡或需要重新调整。
the_devil,恶魔,The Devil,major,,,,执念 | 束缚 | 欲望 | 依赖 | 看见阴影,挣脱束缚 | 戒断 | 看清诱惑 | 摆脱控制 | 不再沉迷,被锁住的人其实锁链很松，提示某种束缚也许可以被看见和松开。,恶魔正位强调执念、束缚与欲望，通常指向一个需要被看见的核心主题。,恶魔逆位强调挣脱束缚、戒断与看清诱惑，通常提示该主题受阻、失衡或需要重新调整。
the_tower,高塔,The Tower,major,,,,突变 | 崩塌 | 真相暴露 | 结构失效 | 强制清醒,延迟崩塌 | 抗拒真相 | 余震 | 表面维持 | 害怕失控,闪电击中高塔，旧结构被迫破开，带来震动也带来清醒。,高塔正位强调突变、崩塌与真相暴露，通常指向一个需要被看见的核心主题。,高塔逆位强调延迟崩塌、抗拒真相与余震，通常提示该主题受阻、失衡或需要重新调整。
the_star,星星,The Star,major,,,,疗愈 | 希望 | 信任 | 恢复 | 长线愿景,失望 | 信心不足 | 疗愈受阻 | 看不见希望 | 理想变弱,女子把水倒入水池和土地，星光下的动作很安静，像恢复与重新相信。,星星正位强调疗愈、希望与信任，通常指向一个需要被看见的核心主题。,星星逆位强调失望、信心不足与疗愈受阻，通常提示该主题受阻、失衡或需要重新调整。
the_moon,月亮,The Moon,major,,,,不安 | 潜意识 | 迷雾 | 梦境 | 信息不清,迷雾散开 | 识破幻象 | 焦虑下降 | 真相浮现 | 停止脑补,夜路、月光和水中的生物形成不确定感，提示情绪和想象会放大信息。,月亮正位强调不安、潜意识与迷雾，通常指向一个需要被看见的核心主题。,月亮逆位强调迷雾散开、识破幻象与焦虑下降，通常提示该主题受阻、失衡或需要重新调整。
the_sun,太阳,The Sun,major,,,,明朗 | 快乐 | 生命力 | 坦诚 | 积极结果,快乐打折 | 能量不足 | 看不见光 | 过度天真 | 延迟明朗,孩子骑白马在阳光下前进，画面开放、明亮、直接。,太阳正位强调明朗、快乐与生命力，通常指向一个需要被看见的核心主题。,太阳逆位强调快乐打折、能量不足与看不见光，通常提示该主题受阻、失衡或需要重新调整。
judgement,审判,Judgement,major,,,,觉醒 | 召唤 | 复盘 | 重新评估 | 关键决定,逃避召唤 | 不敢面对 | 旧账未清 | 自我否定 | 迟迟不回应,号角响起，人们从旧状态中站起，像一次必须面对的复盘。,审判正位强调觉醒、召唤与复盘，通常指向一个需要被看见的核心主题。,审判逆位强调逃避召唤、不敢面对与旧账未清，通常提示该主题受阻、失衡或需要重新调整。
the_world,世界,The World,major,,,,完成 | 整合 | 阶段收束 | 圆满 | 进入新周期,未完成 | 缺乏闭环 | 差最后一步 | 空落感 | 阶段卡住,舞者在花环中完成一个循环，代表阶段性整合和新周期门槛。,世界正位强调完成、整合与阶段收束，通常指向一个需要被看见的核心主题。,世界逆位强调未完成、缺乏闭环与差最后一步，通常提示该主题受阻、失衡或需要重新调整。
ace_of_wands,权杖一,Ace of Wands,minor,wands,ace,fire,灵感点燃 | 新项目 | 行动冲动 | 新开始 | 种子,热情熄火 | 开始困难 | 冲劲不稳 | 机会未落地 | 动力不足,一只手从云中伸出权杖，像突然出现的行动火种。,权杖一正位把行动/热情/事业驱动力落到“灵感点燃、新项目、行动冲动”这些具体状态中。,权杖一逆位多表现为“热情熄火、开始困难、冲劲不稳”，提示这个主题出现阻滞或失衡。
two_of_wands,权杖二,Two of Wands,minor,wands,two,fire,规划 | 远方机会 | 站在门口 | 选择 | 平衡,不敢迈出 | 计划卡住 | 视野受限 | 失衡 | 犹豫,人物手握地球眺望远方，像在评估下一步版图。,权杖二正位把行动/热情/事业驱动力落到“规划、远方机会、站在门口”这些具体状态中。,权杖二逆位多表现为“不敢迈出、计划卡住、视野受限”，提示这个主题出现阻滞或失衡。
three_of_wands,权杖三,Three of Wands,minor,wands,three,fire,等待回报 | 向外扩展 | 合作远景 | 扩展 | 合作,期待落空 | 扩张受阻 | 外部回应慢 | 合作不顺 | 期待落空,人物站在高处看船远行，像项目已经放出去等待反馈。,权杖三正位把行动/热情/事业驱动力落到“等待回报、向外扩展、合作远景”这些具体状态中。,权杖三逆位多表现为“期待落空、扩张受阻、外部回应慢”，提示这个主题出现阻滞或失衡。
four_of_wands,权杖四,Four of Wands,minor,wands,four,fire,庆祝 | 阶段稳定 | 归属感 | 稳定 | 停顿,表面热闹 | 稳定感不足 | 家庭/团队不合 | 僵化 | 停滞,花环与城堡前的庆祝画面，代表阶段性安稳。,权杖四正位把行动/热情/事业驱动力落到“庆祝、阶段稳定、归属感”这些具体状态中。,权杖四逆位多表现为“表面热闹、稳定感不足、家庭/团队不合”，提示这个主题出现阻滞或失衡。
five_of_wands,权杖五,Five of Wands,minor,wands,five,fire,竞争 | 摩擦 | 意见混战 | 冲突 | 损失,减少内耗 | 冲突降温 | 避免无谓争斗 | 修复 | 走出冲突,几个人各挥权杖，像训练也像混战。,权杖五正位把行动/热情/事业驱动力落到“竞争、摩擦、意见混战”这些具体状态中。,权杖五逆位多表现为“减少内耗、冲突降温、避免无谓争斗”，提示这个主题出现阻滞或失衡。
six_of_wands,权杖六,Six of Wands,minor,wands,six,fire,被看见 | 胜利 | 认可 | 调整后前进 | 支持,认可不足 | 虚荣压力 | 胜利打折 | 旧模式反复 | 支持不足,骑马的人戴着桂冠，被人群注视。,权杖六正位把行动/热情/事业驱动力落到“被看见、胜利、认可”这些具体状态中。,权杖六逆位多表现为“认可不足、虚荣压力、胜利打折”，提示这个主题出现阻滞或失衡。
seven_of_wands,权杖七,Seven of Wands,minor,wands,seven,fire,防守立场 | 顶住压力 | 保护成果 | 防守 | 选择,防线崩溃 | 过度紧张 | 不想再撑 | 分散 | 逃避,人物站在高处抵挡下方权杖。,权杖七正位把行动/热情/事业驱动力落到“防守立场、顶住压力、保护成果”这些具体状态中。,权杖七逆位多表现为“防线崩溃、过度紧张、不想再撑”，提示这个主题出现阻滞或失衡。
eight_of_wands,权杖八,Eight of Wands,minor,wands,eight,fire,快速推进 | 消息 | 变化加速 | 推进 | 练习,延迟 | 节奏乱 | 信息堵塞 | 卡顿 | 倦怠,八根权杖飞过天空，画面没有人物，只有速度。,权杖八正位把行动/热情/事业驱动力落到“快速推进、消息、变化加速”这些具体状态中。,权杖八逆位多表现为“延迟、节奏乱、信息堵塞”，提示这个主题出现阻滞或失衡。
nine_of_wands,权杖九,Nine of Wands,minor,wands,nine,fire,坚持 | 防备 | 最后防线 | 临近完成 | 独立,疲惫到松动 | 疑心重 | 撑不下去 | 疲惫 | 防线过重,受伤的人守着一排权杖，像还没完全放下防备。,权杖九正位把行动/热情/事业驱动力落到“坚持、防备、最后防线”这些具体状态中。,权杖九逆位多表现为“疲惫到松动、疑心重、撑不下去”，提示这个主题出现阻滞或失衡。
ten_of_wands,权杖十,Ten of Wands,minor,wands,ten,fire,重担 | 责任压身 | 硬扛 | 完成 | 负荷,卸下负担 | 分工 | 不再全扛 | 释放负担 | 结局延迟,人物抱着十根权杖艰难前行。,权杖十正位把行动/热情/事业驱动力落到“重担、责任压身、硬扛”这些具体状态中。,权杖十逆位多表现为“卸下负担、分工、不再全扛”，提示这个主题出现阻滞或失衡。
page_of_wands,权杖侍从,Page of Wands,minor,wands,page,fire,新兴趣 | 探索 | 跃跃欲试 | 学习 | 消息,热情不稳 | 计划幼稚 | 表达笨拙 | 不成熟 | 消息延误,年轻人看着手中权杖，像刚被某个方向吸引。,权杖侍从正位把行动/热情/事业驱动力落到“新兴趣、探索、跃跃欲试”这些具体状态中。,权杖侍从逆位多表现为“热情不稳、计划幼稚、表达笨拙”，提示这个主题出现阻滞或失衡。
knight_of_wands,权杖骑士,Knight of Wands,minor,wands,knight,fire,冲刺 | 冒险 | 热烈追求 | 行动 | 推进,冲动冒进 | 三分钟热度 | 行动失控 | 冲动 | 失速,骑士骑马前冲，火元素很强。,权杖骑士正位把行动/热情/事业驱动力落到“冲刺、冒险、热烈追求”这些具体状态中。,权杖骑士逆位多表现为“冲动冒进、三分钟热度、行动失控”，提示这个主题出现阻滞或失衡。
queen_of_wands,权杖皇后,Queen of Wands,minor,wands,queen,fire,自信 | 魅力 | 生命力 | 成熟接纳 | 内在掌握,外热内虚 | 安全感不足 | 控制关注 | 情绪/资源失衡 | 过度内耗,皇后手持向日葵和权杖，坐姿自信。,权杖皇后正位把行动/热情/事业驱动力落到“自信、魅力、生命力”这些具体状态中。,权杖皇后逆位多表现为“外热内虚、安全感不足、控制关注”，提示这个主题出现阻滞或失衡。
king_of_wands,权杖国王,King of Wands,minor,wands,king,fire,领导力 | 愿景 | 果断 | 成熟掌控 | 领导,独断 | 急躁控制 | 压迫感 | 控制过度 | 僵硬,国王坐在火元素王座上，像掌握行动方向。,权杖国王正位把行动/热情/事业驱动力落到“领导力、愿景、果断”这些具体状态中。,权杖国王逆位多表现为“独断、急躁控制、压迫感”，提示这个主题出现阻滞或失衡。
ace_of_cups,圣杯一,Ace of Cups,minor,cups,ace,water,情感开启 | 心动 | 疗愈 | 新开始 | 种子,情感封闭 | 爱意流失 | 感受受阻 | 机会未落地 | 动力不足,圣杯中的水向外流出，像情绪和爱意的源头。,圣杯一正位把情绪/关系/感受/亲密落到“情感开启、心动、疗愈”这些具体状态中。,圣杯一逆位多表现为“情感封闭、爱意流失、感受受阻”，提示这个主题出现阻滞或失衡。
two_of_cups,圣杯二,Two of Cups,minor,cups,two,water,互相吸引 | 连接 | 和解 | 选择 | 平衡,关系不对等 | 脱节 | 沟通失衡 | 失衡 | 犹豫,两人举杯相对，头顶有象征结合的图案。,圣杯二正位把情绪/关系/感受/亲密落到“互相吸引、连接、和解”这些具体状态中。,圣杯二逆位多表现为“关系不对等、脱节、沟通失衡”，提示这个主题出现阻滞或失衡。
three_of_cups,圣杯三,Three of Cups,minor,cups,three,water,朋友支持 | 庆祝 | 情绪分享 | 扩展 | 合作,小圈子压力 | 过度社交 | 关系杂音 | 合作不顺 | 期待落空,三人举杯庆祝，强调支持和群体情绪。,圣杯三正位把情绪/关系/感受/亲密落到“朋友支持、庆祝、情绪分享”这些具体状态中。,圣杯三逆位多表现为“小圈子压力、过度社交、关系杂音”，提示这个主题出现阻滞或失衡。
four_of_cups,圣杯四,Four of Cups,minor,cups,four,water,倦怠 | 不满足 | 情绪关闭 | 稳定 | 停顿,重新打开 | 看见机会 | 走出麻木 | 僵化 | 停滞,坐着的人拒绝或没看见递来的杯子。,圣杯四正位把情绪/关系/感受/亲密落到“倦怠、不满足、情绪关闭”这些具体状态中。,圣杯四逆位多表现为“重新打开、看见机会、走出麻木”，提示这个主题出现阻滞或失衡。
five_of_cups,圣杯五,Five of Cups,minor,cups,five,water,失落 | 遗憾 | 盯着失去 | 冲突 | 损失,开始接受 | 看见剩余资源 | 情绪修复 | 修复 | 走出冲突,黑衣人看着倒下的杯子，身后还有两只杯。,圣杯五正位把情绪/关系/感受/亲密落到“失落、遗憾、盯着失去”这些具体状态中。,圣杯五逆位多表现为“开始接受、看见剩余资源、情绪修复”，提示这个主题出现阻滞或失衡。
six_of_cups,圣杯六,Six of Cups,minor,cups,six,water,旧情绪 | 回忆 | 单纯温暖 | 调整后前进 | 支持,困在过去 | 理想化旧人 | 旧模式未清 | 旧模式反复 | 支持不足,孩子递杯，画面带有童年和旧日气息。,圣杯六正位把情绪/关系/感受/亲密落到“旧情绪、回忆、单纯温暖”这些具体状态中。,圣杯六逆位多表现为“困在过去、理想化旧人、旧模式未清”，提示这个主题出现阻滞或失衡。
seven_of_cups,圣杯七,Seven of Cups,minor,cups,seven,water,幻想很多 | 选择诱惑 | 不确定 | 防守 | 选择,看清幻想 | 收束选择 | 从空想到现实 | 分散 | 逃避,云中的七个杯子装着不同诱惑和可能。,圣杯七正位把情绪/关系/感受/亲密落到“幻想很多、选择诱惑、不确定”这些具体状态中。,圣杯七逆位多表现为“看清幻想、收束选择、从空想到现实”，提示这个主题出现阻滞或失衡。
eight_of_cups,圣杯八,Eight of Cups,minor,cups,eight,water,离开 | 情绪撤退 | 寻找更深意义 | 推进 | 练习,舍不得走 | 回头反复 | 逃避离开 | 卡顿 | 倦怠,人物背对杯子走向远山。,圣杯八正位把情绪/关系/感受/亲密落到“离开、情绪撤退、寻找更深意义”这些具体状态中。,圣杯八逆位多表现为“舍不得走、回头反复、逃避离开”，提示这个主题出现阻滞或失衡。
nine_of_cups,圣杯九,Nine of Cups,minor,cups,nine,water,满足 | 愿望感 | 享受 | 临近完成 | 独立,满足打折 | 空虚 | 过度享乐 | 疲惫 | 防线过重,人物坐在九只杯前，像在展示自己的满足。,圣杯九正位把情绪/关系/感受/亲密落到“满足、愿望感、享受”这些具体状态中。,圣杯九逆位多表现为“满足打折、空虚、过度享乐”，提示这个主题出现阻滞或失衡。
ten_of_cups,圣杯十,Ten of Cups,minor,cups,ten,water,家庭幸福 | 情感圆满 | 共同愿景 | 完成 | 负荷,理想破裂 | 家庭/关系不和 | 圆满感不足 | 释放负担 | 结局延迟,彩虹下的一家人和十只杯，象征情感理想。,圣杯十正位把情绪/关系/感受/亲密落到“家庭幸福、情感圆满、共同愿景”这些具体状态中。,圣杯十逆位多表现为“理想破裂、家庭/关系不和、圆满感不足”，提示这个主题出现阻滞或失衡。
page_of_cups,圣杯侍从,Page of Cups,minor,cups,page,water,温柔消息 | 心动表达 | 感性好奇 | 学习 | 消息,情绪幼稚 | 暧昧不清 | 表达不稳 | 不成熟 | 消息延误,年轻人看着杯中鱼，像突然冒出的情绪讯号。,圣杯侍从正位把情绪/关系/感受/亲密落到“温柔消息、心动表达、感性好奇”这些具体状态中。,圣杯侍从逆位多表现为“情绪幼稚、暧昧不清、表达不稳”，提示这个主题出现阻滞或失衡。
knight_of_cups,圣杯骑士,Knight of Cups,minor,cups,knight,water,浪漫靠近 | 表达爱意 | 邀请 | 行动 | 推进,甜言蜜语 | 情绪化行动 | 承诺不稳 | 冲动 | 失速,骑士端着杯前行，动作柔和。,圣杯骑士正位把情绪/关系/感受/亲密落到“浪漫靠近、表达爱意、邀请”这些具体状态中。,圣杯骑士逆位多表现为“甜言蜜语、情绪化行动、承诺不稳”，提示这个主题出现阻滞或失衡。
queen_of_cups,圣杯皇后,Queen of Cups,minor,cups,queen,water,共情 | 照顾感受 | 情绪成熟 | 成熟接纳 | 内在掌握,共情过载 | 情绪边界弱 | 敏感内耗 | 情绪/资源失衡 | 过度内耗,皇后凝视圣杯，像深深感知情绪。,圣杯皇后正位把情绪/关系/感受/亲密落到“共情、照顾感受、情绪成熟”这些具体状态中。,圣杯皇后逆位多表现为“共情过载、情绪边界弱、敏感内耗”，提示这个主题出现阻滞或失衡。
king_of_cups,圣杯国王,King of Cups,minor,cups,king,water,情绪稳定 | 成熟包容 | 温和掌舵 | 成熟掌控 | 领导,情绪压抑 | 表面平静 | 逃避表达 | 控制过度 | 僵硬,国王坐在水中的王座上，稳定但被情绪包围。,圣杯国王正位把情绪/关系/感受/亲密落到“情绪稳定、成熟包容、温和掌舵”这些具体状态中。,圣杯国王逆位多表现为“情绪压抑、表面平静、逃避表达”，提示这个主题出现阻滞或失衡。
ace_of_swords,宝剑一,Ace of Swords,minor,swords,ace,air,清晰判断 | 真相 | 新想法 | 新开始 | 种子,判断混乱 | 话语伤人 | 真相不明 | 机会未落地 | 动力不足,云中伸出的剑刺向天空，代表清晰但锋利的念头。,宝剑一正位把思考/沟通/冲突/判断落到“清晰判断、真相、新想法”这些具体状态中。,宝剑一逆位多表现为“判断混乱、话语伤人、真相不明”，提示这个主题出现阻滞或失衡。
two_of_swords,宝剑二,Two of Swords,minor,swords,two,air,僵持 | 回避选择 | 自我保护 | 选择 | 平衡,僵局松动 | 不得不面对 | 信息打开 | 失衡 | 犹豫,蒙眼的人交叉双剑坐在水边。,宝剑二正位把思考/沟通/冲突/判断落到“僵持、回避选择、自我保护”这些具体状态中。,宝剑二逆位多表现为“僵局松动、不得不面对、信息打开”，提示这个主题出现阻滞或失衡。
three_of_swords,宝剑三,Three of Swords,minor,swords,three,air,心痛 | 失望 | 关系伤口 | 扩展 | 合作,伤口修复 | 痛感释放 | 慢慢释怀 | 合作不顺 | 期待落空,三把剑刺入心脏，画面直接指向痛感。,宝剑三正位把思考/沟通/冲突/判断落到“心痛、失望、关系伤口”这些具体状态中。,宝剑三逆位多表现为“伤口修复、痛感释放、慢慢释怀”，提示这个主题出现阻滞或失衡。
four_of_swords,宝剑四,Four of Swords,minor,swords,four,air,休息 | 暂停 | 恢复 | 抽离 | 稳定 | 停顿,恢复不足 | 被迫醒来 | 休息变逃避 | 僵化 | 停滞,人物躺在教堂般的空间里，剑悬于墙上。,宝剑四正位把思考/沟通/冲突/判断落到“休息、暂停、恢复”这些具体状态中。,宝剑四逆位多表现为“恢复不足、被迫醒来、休息变逃避”，提示这个主题出现阻滞或失衡。
five_of_swords,宝剑五,Five of Swords,minor,swords,five,air,争执胜负 | 消耗性冲突 | 赢了也不舒服 | 冲突 | 损失,停止争斗 | 承认代价 | 修复可能 | 修复 | 走出冲突,有人拿着剑，远处有人离开，胜负感很冷。,宝剑五正位把思考/沟通/冲突/判断落到“争执胜负、消耗性冲突、赢了也不舒服”这些具体状态中。,宝剑五逆位多表现为“停止争斗、承认代价、修复可能”，提示这个主题出现阻滞或失衡。
six_of_swords,宝剑六,Six of Swords,minor,swords,six,air,过渡 | 离开混乱 | 低调前行 | 调整后前进 | 支持,走不出去 | 旧问题跟随 | 迁移受阻 | 旧模式反复 | 支持不足,小船载着人和剑渡水而去。,宝剑六正位把思考/沟通/冲突/判断落到“过渡、离开混乱、低调前行”这些具体状态中。,宝剑六逆位多表现为“走不出去、旧问题跟随、迁移受阻”，提示这个主题出现阻滞或失衡。
seven_of_swords,宝剑七,Seven of Swords,minor,swords,seven,air,策略 | 隐瞒 | 不完全坦白 | 防守 | 选择,暴露 | 不再躲藏 | 策略失败 | 分散 | 逃避,人物悄悄抱走几把剑，回头观察。,宝剑七正位把思考/沟通/冲突/判断落到“策略、隐瞒、不完全坦白”这些具体状态中。,宝剑七逆位多表现为“暴露、不再躲藏、策略失败”，提示这个主题出现阻滞或失衡。
eight_of_swords,宝剑八,Eight of Swords,minor,swords,eight,air,受限 | 困住 | 自我设限 | 推进 | 练习,看见出口 | 松绑 | 走出困局 | 卡顿 | 倦怠,蒙眼被绑的人被剑围住，但脚下仍有空间。,宝剑八正位把思考/沟通/冲突/判断落到“受限、困住、自我设限”这些具体状态中。,宝剑八逆位多表现为“看见出口、松绑、走出困局”，提示这个主题出现阻滞或失衡。
nine_of_swords,宝剑九,Nine of Swords,minor,swords,nine,air,焦虑 | 失眠 | 自责 | 脑内放大 | 临近完成 | 独立,焦虑下降 | 求助 | 从噩梦醒来 | 疲惫 | 防线过重,人物坐在床上捂脸，身后九把剑像夜里的念头。,宝剑九正位把思考/沟通/冲突/判断落到“焦虑、失眠、自责”这些具体状态中。,宝剑九逆位多表现为“焦虑下降、求助、从噩梦醒来”，提示这个主题出现阻滞或失衡。
ten_of_swords,宝剑十,Ten of Swords,minor,swords,ten,air,结束痛苦 | 最低点 | 彻底耗尽 | 完成 | 负荷,从低谷恢复 | 痛苦收尾 | 重新站起 | 释放负担 | 结局延迟,人物被十把剑刺倒，远处有微光。,宝剑十正位把思考/沟通/冲突/判断落到“结束痛苦、最低点、彻底耗尽”这些具体状态中。,宝剑十逆位多表现为“从低谷恢复、痛苦收尾、重新站起”，提示这个主题出现阻滞或失衡。
page_of_swords,宝剑侍从,Page of Swords,minor,swords,page,air,观察 | 试探表达 | 警觉学习 | 学习 | 消息,口舌不稳 | 多疑 | 消息不成熟 | 不成熟 | 消息延误,年轻人持剑侧身，像随时准备回应。,宝剑侍从正位把思考/沟通/冲突/判断落到“观察、试探表达、警觉学习”这些具体状态中。,宝剑侍从逆位多表现为“口舌不稳、多疑、消息不成熟”，提示这个主题出现阻滞或失衡。
knight_of_swords,宝剑骑士,Knight of Swords,minor,swords,knight,air,快速沟通 | 理性冲锋 | 急切推进 | 行动 | 推进,鲁莽言语 | 冲动判断 | 攻击性 | 冲动 | 失速,骑士持剑高速前冲，空气感强。,宝剑骑士正位把思考/沟通/冲突/判断落到“快速沟通、理性冲锋、急切推进”这些具体状态中。,宝剑骑士逆位多表现为“鲁莽言语、冲动判断、攻击性”，提示这个主题出现阻滞或失衡。
queen_of_swords,宝剑皇后,Queen of Swords,minor,swords,queen,air,清醒 | 边界 | 理性表达 | 成熟接纳 | 内在掌握,冷硬 | 防御过重 | 刻薄 | 情绪/资源失衡 | 过度内耗,皇后持剑端坐，手势像允许靠近但有边界。,宝剑皇后正位把思考/沟通/冲突/判断落到“清醒、边界、理性表达”这些具体状态中。,宝剑皇后逆位多表现为“冷硬、防御过重、刻薄”，提示这个主题出现阻滞或失衡。
king_of_swords,宝剑国王,King of Swords,minor,swords,king,air,理性权威 | 判断力 | 规则与逻辑 | 成熟掌控 | 领导,冷酷 | 专断 | 过度理性 | 控制过度 | 僵硬,国王直握宝剑，代表清晰规则和判断。,宝剑国王正位把思考/沟通/冲突/判断落到“理性权威、判断力、规则与逻辑”这些具体状态中。,宝剑国王逆位多表现为“冷酷、专断、过度理性”，提示这个主题出现阻滞或失衡。
ace_of_pentacles,星币一,Ace of Pentacles,minor,pentacles,ace,earth,现实机会 | 资源 | 金钱/工作种子 | 新开始 | 种子,机会未落地 | 现实阻碍 | 资源浪费 | 机会未落地 | 动力不足,云中递出星币，远处有花园和拱门。,星币一正位把现实/资源/金钱/身体/稳定落到“现实机会、资源、金钱/工作种子”这些具体状态中。,星币一逆位多表现为“机会未落地、现实阻碍、资源浪费”，提示这个主题出现阻滞或失衡。
